nut_stroke_mm,jaw_closing_angle_deg,dphi_ds_rad_per_mm,dphi_ds_deg_per_mm,d2phi_ds2_rad_per_mm2,d2phi_ds2_deg_per_mm2,jaw_omega_rad_per_s,jaw_omega_deg_per_s,jaw_alpha_rad_per_s2,jaw_alpha_deg_per_s2,joint3_x_mm,joint3_y_mm
0.000000,0.005935,0.027897473,1.598407,0.000484171,0.027741,0.027897473,1.598407,0.000484171,0.027741,-47.993654,27.833556
0.016000,0.031509,0.027905220,1.598851,0.000726763,0.041640,0.027905220,1.598851,0.000726763,0.041640,-47.993948,27.833176
0.032000,0.057098,0.027920730,1.599740,0.000970370,0.055598,0.027920730,1.599740,0.000970370,0.055598,-47.994236,27.832804
0.048000,0.082701,0.027936272,1.600630,0.000972402,0.055715,0.027936272,1.600630,0.000972402,0.055715,-47.994516,27.832442
0.064000,0.108318,0.027951846,1.601523,0.000974438,0.055831,0.027951846,1.601523,0.000974438,0.055831,-47.994789,27.832088
0.080000,0.133950,0.027967454,1.602417,0.000976480,0.055948,0.027967454,1.602417,0.000976480,0.055948,-47.995056,27.831743
0.096000,0.159595,0.027983094,1.603313,0.000978527,0.056065,0.027983094,1.603313,0.000978527,0.056065,-47.995316,27.831407
0.112000,0.185256,0.027998767,1.604211,0.000980580,0.056183,0.027998767,1.604211,0.000980580,0.056183,-47.995569,27.831080
0.128000,0.210930,0.028014472,1.605111,0.000982637,0.056301,0.028014472,1.605111,0.000982637,0.056301,-47.995815,27.830762
0.144000,0.236619,0.028030211,1.606013,0.000984700,0.056419,0.028030211,1.606013,0.000984700,0.056419,-47.996054,27.830453
0.160000,0.262323,0.028045983,1.606916,0.000986767,0.056538,0.028045983,1.606916,0.000986767,0.056538,-47.996286,27.830152
0.176000,0.288041,0.028061788,1.607822,0.000988840,0.056656,0.028061788,1.607822,0.000988840,0.056656,-47.996512,27.829861
0.192000,0.313773,0.028077626,1.608729,0.000990918,0.056775,0.028077626,1.608729,0.000990918,0.056775,-47.996730,27.829578
0.208000,0.339520,0.028093497,1.609639,0.000993002,0.056895,0.028093497,1.609639,0.000993002,0.056895,-47.996941,27.829305
0.224000,0.365281,0.028109402,1.610550,0.000995090,0.057014,0.028109402,1.610550,0.000995090,0.057014,-47.997146,27.829040
0.240000,0.391057,0.028125340,1.611463,0.000997184,0.057134,0.028125340,1.611463,0.000997184,0.057134,-47.997344,27.828785
0.256000,0.416848,0.028141312,1.612378,0.000999284,0.057255,0.028141312,1.612378,0.000999284,0.057255,-47.997534,27.828538
0.272000,0.442654,0.028157317,1.613295,0.001001388,0.057375,0.028157317,1.613295,0.001001388,0.057375,-47.997718,27.828301
0.288000,0.468474,0.028173356,1.614214,0.001003498,0.057496,0.028173356,1.614214,0.001003498,0.057496,-47.997894,27.828072
0.304000,0.494308,0.028189429,1.615135,0.001005613,0.057617,0.028189429,1.615135,0.001005613,0.057617,-47.998064,27.827853
0.320000,0.520158,0.028205536,1.616058,0.001007734,0.057739,0.028205536,1.616058,0.001007734,0.057739,-47.998226,27.827643
0.336000,0.546022,0.028221676,1.616983,0.001009859,0.057861,0.028221676,1.616983,0.001009859,0.057861,-47.998382,27.827442
0.352000,0.571901,0.028237851,1.617910,0.001011991,0.057983,0.028237851,1.617910,0.001011991,0.057983,-47.998530,27.827250
0.368000,0.597795,0.028254060,1.618838,0.001014128,0.058105,0.028254060,1.618838,0.001014128,0.058105,-47.998672,27.827067
0.384000,0.623704,0.028270303,1.619769,0.001016270,0.058228,0.028270303,1.619769,0.001016270,0.058228,-47.998806,27.826893
0.400000,0.649628,0.028286581,1.620702,0.001018417,0.058351,0.028286581,1.620702,0.001018417,0.058351,-47.998933,27.826728
0.416000,0.675567,0.028302893,1.621636,0.001020570,0.058474,0.028302893,1.621636,0.001020570,0.058474,-47.999053,27.826573
